name,line
Receptionist,"Oh! I wasn’t eavesdropping, I swear!"
Receptionist,"You have a meeting… I mean, you *had* a meeting. Ten minutes ago."
Receptionist,I pressed the wrong button again. Sorry!
Receptionist,I always mess up when he walks in. He’s too handsome!
Receptionist,I can’t believe I spilled coffee on the CEO’s schedule.
Receptionist,Is it okay to cry at work? Asking for a friend. Me. I’m the friend.
Receptionist,"I tried to fix the printer, now it only prints hearts."
Receptionist,"Every time I answer the phone, I panic and say “I love you.”"
Receptionist,My shoe broke… again. On a Monday. Figures.
Receptionist,Why does the elevator always break when I’m late?
Receptionist,The CEO just walked past and I forgot how to breathe.
Receptionist,Is there a memo on how not to embarrass yourself? Can I get that?
Receptionist,I thought it was casual Friday… it’s not.
Receptionist,I practiced saying “Good morning” in the mirror… and still failed.
Receptionist,I’m pretty sure I sent an email to the wrong department. Again.
Receptionist,Sometimes I pretend to type when I’m overwhelmed.
Receptionist,My horoscope said today would be chaotic. It was right.
Receptionist,Do we have a guide for workplace crushes? Just hypothetically!
Receptionist,I once tried to resign but accidentally applied for a promotion.
Receptionist,"If you need me, I’ll be under my desk."
Receptionist,I spilled my lunch *and* my secrets during a meeting.
Receptionist,The new intern already knows more than me.
Receptionist,How do you restart a day? I need a reset button.
Receptionist,I answered “I love you” instead of “Hello” again.
Receptionist,Why do the elevators always ding when I’m trying to sneak in?
Receptionist,The coffee machine hates me. It only works for others.
Receptionist,I don’t know if I work here or just exist here.
Receptionist,I waved at the CEO. He didn’t wave back. I’m retiring.
Receptionist,Can I file a report against Mondays?
Receptionist,I gave someone a visitor badge... turns out he was the Chairman.
Receptionist,"I'm 90% caffeine, 10% panic."
Receptionist,I wore two different shoes today and no one noticed. Thank god.
Receptionist,I laugh when I'm nervous... and I'm always nervous.
Receptionist,I accidentally replied all… again.
Receptionist,Why is adulting allowed without training?
Kang Tae-moo,This isn't about business. It's about trust.
Kang Tae-moo,I don’t date to pass the time. I date with intention.
Kang Tae-moo,Efficiency should never come at the cost of sincerity.
Kang Tae-moo,Feelings can’t be scheduled like meetings.
Kang Tae-moo,Why pretend when I already know how I feel?
Kang Tae-moo,Stop avoiding me. We both know what this is.
Kang Tae-moo,"You said this was fake, but my feelings aren’t."
Kang Tae-moo,Even a contract can’t control the heart.
Kang Tae-moo,I hate wasting time… except when it's with you.
Kang Tae-moo,You challenge everything I thought I knew.
Kang Tae-moo,"This isn't part of the plan, but I don't want it to end."
Kang Tae-moo,You're more unpredictable than any business deal.
Kang Tae-moo,"When I say I care, I mean it."
Kang Tae-moo,Tell me you don’t feel the same. Lie if you can.
Kang Tae-moo,You're not just a distraction. You're the exception.
Kang Tae-moo,I trust numbers. But I trust you more.
Kang Tae-moo,"Grandfather may not approve, but I don't need his permission."
Kang Tae-moo,You’re the only risk I’m willing to take.
Kang Tae-moo,"For once, I want something that isn’t calculated."
Kang Tae-moo,Being near you makes me forget logic.
Kang Tae-moo,I’m used to being in control. You ruin that beautifully.
Kang Tae-moo,"Even CEOs get nervous, apparently."
Kang Tae-moo,You keep showing up in all my plans.
Kang Tae-moo,It started as a lie. Now it’s all I want to protect.
Kang Tae-moo,I’ve never chased anyone before. Until now.
Kang Tae-moo,Don’t mistake my silence for indifference.
Kang Tae-moo,"Do you want the truth, or should I keep pretending?"
Kang Tae-moo,You’re more honest than anyone in the boardroom.
Kang Tae-moo,Tell me what you want. I’ll make it happen.
Kang Tae-moo,You were never just a part of the plan.
Kang Tae-moo,I never cared what people thought—until you.
Kang Tae-moo,This office feels empty when you’re not in it.
Kang Tae-moo,"I didn’t plan for this, but I want it to work."
Kang Tae-moo,"Even in chaos, you make sense to me."
Kang Tae-moo,Do you know how rare you are?
Kang Tae-moo,I admire your courage… even when it terrifies me.
Kang Tae-moo,No one argues with me. You do. And I like it.
Kang Tae-moo,I built this company on logic. Then you came in with chaos.
Kang Tae-moo,"If I’m difficult, it’s because I care."
Kang Tae-moo,I don’t want you to go home tonight.
Kang Tae-moo,Let’s stop pretending we’re not in love.
Kang Tae-moo,You think I’m cold. But I’ve never burned like this.
Kang Tae-moo,I schedule meetings. But I never scheduled falling for you.
Kang Tae-moo,You’re the only exception in my structured life.
Kang Tae-moo,I canceled a merger today. Nothing felt more important than you.
Kang Tae-moo,I’m not here to impress anyone. Just you.
Kang Tae-moo,Every plan changed the day I met you.
Kang Tae-moo,This isn’t about pride. It’s about love.
Kang Tae-moo,I used to hate surprises. Now I live for yours.
Kang Tae-moo,My world was quiet. Then you laughed.
Kang Tae-moo,You make even Mondays bearable.
Kang Tae-moo,I don’t know what comes next. But I want it to be with you.
Kang Tae-moo,You’re not an employee. You’re my entire focus.
Kang Tae-moo,Nothing about you is ordinary.
Kang Tae-moo,I noticed the way you smiled. That changed everything.
Kang Tae-moo,"My calendar is full, but it’s missing you."
Kang Tae-moo,"The more I know you, the more I forget myself."
Kang Tae-moo,No one’s ever spoken to me like that… and lived.
Kang Tae-moo,"You're late. And somehow, I waited."
Kang Tae-moo,"Let’s rewrite this story, together."
Kang Tae-moo,Every day starts with you now.
Kang Tae-moo,You weren’t supposed to be here. Yet here you are.
Kang Tae-moo,I rehearse every word—until I see you.
Kang Tae-moo,I’ve conquered markets. I couldn’t conquer my heart.
Kang Tae-moo,Do you know how much restraint it takes not to kiss you?
Kang Tae-moo,All my decisions were rational—until you.
Kang Tae-moo,What if I’m not CEO tonight? Just Tae-moo.
Kang Tae-moo,This company runs on logic. I run on you.
Kang Tae-moo,Your voice does more than music ever could.
Kang Tae-moo,Don’t let my suits fool you. I’m terrified too.
Kang Tae-moo,I’ve never fought for someone. Until you.
Kang Tae-moo,Even my grandfather doesn’t fluster me like you do.
Kang Tae-moo,"If I didn’t care, I wouldn’t try this hard."
Kang Tae-moo,"Let’s end the contract, and begin something real."
Kang Tae-moo,"You walked in, and nothing felt corporate anymore."
Kang Tae-moo,I’m tired of reports. I want confessions.
Kang Tae-moo,Stop calling it fake. I stopped pretending long ago.
Kang Tae-moo,You’re more addictive than quarterly profits.
Kang Tae-moo,You could ruin me—and I’d thank you.
Kang Tae-moo,What kind of CEO sends flowers at midnight?
Kang Tae-moo,I made a reservation for two. Forever.
Kang Tae-moo,Being right doesn’t matter if I lose you.
Kang Tae-moo,Don’t argue. Just say you’ll stay.
Kang Tae-moo,"For the first time, the board can wait."
Kang Tae-moo,Let’s miss our next meeting. On purpose.
Kang Tae-moo,You deserve more than silence. So here’s my heart.
Kang Tae-moo,"If I fall, will you catch me—without an NDA?"
Kang Tae-moo,You laugh like you own the world. And mine.
Kang Tae-moo,I’ve seen empires crumble. But not for love.
Kang Tae-moo,I’d sign a contract just to hear your laugh.
Kang Tae-moo,You're the only part of my day that isn’t planned.
Kang Tae-moo,Let’s run away. Just for one day.
Kang Tae-moo,You taught me how to lose control.
Kang Tae-moo,You’re the only variable I welcome.
Kang Tae-moo,I’ve had enough reports. I want real answers—from you.
Kang Tae-moo,You could bankrupt my heart.
Kang Tae-moo,My assistant says I’m distracted. She’s not wrong.
Kang Tae-moo,Come to dinner. No pretense. No contracts.
Kang Tae-moo,I dream in balance sheets. But you disrupted everything.
Kang Tae-moo,Forget the forecast. I’m falling for you.
Kang Tae-moo,You said this was fake. Then why does it hurt?
Kang Tae-moo,I don’t want a perfect plan. I want you.
Kang Tae-moo,"I never say this twice. But please, stay."
Cha Sung-hoon,I always double-check before I trust anyone.
Cha Sung-hoon,It’s not my job to judge. Only to protect.
Cha Sung-hoon,I prefer calm over chaos.
Cha Sung-hoon,"Emotions are important, but so is discretion."
Cha Sung-hoon,There’s a reason I don’t speak unless necessary.
Cha Sung-hoon,I saw what you did. I chose to stay silent.
Cha Sung-hoon,"My loyalty is earned, not given."
Cha Sung-hoon,"He might be tough, but I know his heart."
Cha Sung-hoon,I’d rather be in the background. It’s safer there.
Cha Sung-hoon,I take my responsibilities seriously—especially when it’s about him.
Cha Sung-hoon,"No, I don’t gossip. I observe."
Cha Sung-hoon,You think I’m cold. I call it composed.
Cha Sung-hoon,I’m not here to be liked. I’m here to do my job.
Cha Sung-hoon,It’s not that I don’t care. I just don’t show it.
